DATE,region_code,total_consum(Wh),max_tem,min_tem,wind_speed,morning_tem,noon_tem,evening_tem,total_precip,humidity,visibility,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,heat_index,DEWPOINT_MAX_C,wind_tem,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,snow,UV_INDEX,SUNHOUR,night_tem
2023-02-10,24,34180573095.0,8.5,-0.3333333333333333,6.166666666666667,0.0,6.0,5.0,0.0,63.0,10.0,1041.0,19.666666666666668,8.5,0.5,-1.5,117.5,113.0,114.0,0.0,2.0,9.983333333333333,0.0
2023-02-11,24,33682659404.0,12.166666666666666,0.3333333333333333,12.333333333333334,0.3333333333333333,8.166666666666666,7.666666666666667,0.0,77.33333333333333,10.0,1039.5,32.4375,12.166666666666666,3.3333333333333335,-1.8333333333333333,120.5,113.0,113.0,0.0,2.8333333333333335,10.033333333333333,0.8333333333333334
2023-02-12,24,32038514836.0,14.0,1.5,16.166666666666668,1.5,10.333333333333334,10.666666666666666,0.0,94.5,8.833333333333334,1037.1666666666667,6.6875,14.0,6.166666666666667,-2.0,123.0,113.0,113.0,0.0,2.8333333333333335,10.083333333333334,2.0
2023-02-13,24,31528238449.0,14.166666666666666,2.0,9.166666666666666,2.0,11.0,10.0,0.0,86.5,9.666666666666666,1033.3333333333333,0.8958333333333334,14.166666666666666,3.8333333333333335,-0.3333333333333333,118.0,113.0,113.0,0.0,3.0,10.166666666666666,2.5
2023-02-14,24,30412304056.0,15.833333333333334,2.8333333333333335,11.0,2.8333333333333335,12.333333333333334,12.0,0.0,80.83333333333333,10.0,1033.0,0.3333333333333333,15.833333333333334,5.333333333333333,0.16666666666666666,113.0,113.0,113.0,0.0,3.0,10.2,3.3333333333333335
2023-02-15,24,29460243998.0,13.833333333333334,4.5,12.0,4.5,10.833333333333334,10.5,0.0,76.66666666666667,10.0,1028.8333333333333,43.5625,13.833333333333334,4.833333333333333,2.3333333333333335,121.5,116.5,113.5,0.0,3.0,9.566666666666666,4.833333333333333
2023-02-16,24,28360055555.0,13.666666666666666,4.833333333333333,18.333333333333332,4.833333333333333,11.833333333333334,11.333333333333334,0.0,91.16666666666667,9.833333333333334,1029.6666666666667,35.916666666666664,13.666666666666666,7.833333333333333,2.0,114.5,117.0,118.5,0.0,3.0,9.283333333333333,5.166666666666667
2023-02-17,24,26185347296.0,12.333333333333334,7.833333333333333,16.166666666666668,8.166666666666666,10.833333333333334,11.833333333333334,0.0,91.0,10.0,1031.3333333333333,86.8125,12.333333333333334,9.333333333333334,6.333333333333333,120.5,121.5,121.0,0.0,3.0,5.266666666666667,8.166666666666666
2023-02-18,24,25286968603.0,12.833333333333334,10.0,14.833333333333334,10.5,12.0,12.0,0.0,94.66666666666667,7.416666666666667,1030.8333333333333,82.6875,12.833333333333334,10.333333333333334,8.5,148.5,121.0,118.5,0.0,3.1666666666666665,5.566666666666666,11.0
2023-02-19,24,25100349711.0,14.5,7.833333333333333,12.333333333333334,8.833333333333334,12.166666666666666,12.833333333333334,0.0,89.66666666666667,10.0,1031.0,49.229166666666664,14.5,8.166666666666666,6.333333333333333,121.5,117.0,113.0,0.0,3.0,9.85,9.333333333333334
2023-02-20,24,26194990158.0,17.0,5.0,8.333333333333334,5.0,13.333333333333334,13.166666666666666,0.0,90.83333333333333,10.0,1030.8333333333333,4.375,17.0,8.0,3.6666666666666665,113.0,113.0,113.0,0.0,4.0,10.716666666666667,5.333333333333333
2023-02-21,24,26304196854.0,15.5,5.333333333333333,10.0,5.333333333333333,12.833333333333334,12.833333333333334,0.0,88.16666666666667,10.0,1024.0,30.541666666666668,15.5,6.666666666666667,3.0,114.5,116.5,117.0,0.0,3.6666666666666665,10.416666666666666,6.0
2023-02-22,24,26298656158.0,10.666666666666666,8.333333333333334,18.0,8.666666666666666,10.5,9.833333333333334,0.75,95.0,8.645833333333334,1015.8333333333334,92.08333333333333,10.666666666666666,8.833333333333334,6.0,132.5,144.0,280.0,0.0,2.5,5.400000000000001,9.833333333333334
2023-02-23,24,27273722928.0,9.5,7.166666666666667,20.333333333333332,7.166666666666667,7.666666666666667,9.333333333333334,2.5833333333333335,95.0,7.166666666666667,1015.3333333333334,99.97916666666667,9.5,7.666666666666667,4.0,193.5,257.0,199.0,0.0,2.0,5.400000000000001,7.666666666666667
2023-02-24,24,27364810899.0,11.333333333333334,6.0,20.666666666666668,6.333333333333333,10.0,9.333333333333334,0.16666666666666666,90.5,9.5,1014.8333333333334,69.79166666666667,11.333333333333334,6.5,2.3333333333333335,118.0,120.0,116.5,0.0,2.5,7.883333333333333,7.166666666666667
2023-02-25,24,29337772142.0,8.833333333333334,3.5,24.0,5.333333333333333,6.833333333333333,7.333333333333333,0.06666666666666667,84.83333333333333,10.0,1013.0,51.291666666666664,8.833333333333334,4.5,0.3333333333333333,120.5,117.5,113.0,0.0,1.8333333333333333,9.566666666666666,5.833333333333333
2023-02-26,24,32463403199.0,5.5,-0.3333333333333333,34.166666666666664,-0.3333333333333333,5.166666666666667,3.8333333333333335,0.0,70.16666666666667,10.0,1019.6666666666666,10.25,5.5,0.0,-6.166666666666667,113.0,113.0,113.0,0.0,2.0,10.916666666666666,1.5
2023-02-27,24,34986049766.0,7.166666666666667,-1.5,33.0,-1.5,5.833333333333333,5.166666666666667,0.0,65.5,10.0,1025.0,7.375,7.166666666666667,0.0,-8.166666666666666,113.0,113.0,114.0,0.0,2.0,10.833333333333334,-1.0
2023-02-28,24,35312716998.0,7.5,-2.5,20.5,-2.5,4.0,6.5,0.0,73.66666666666667,10.0,1025.1666666666667,9.229166666666666,7.5,0.0,-8.0,113.5,114.5,113.0,0.0,2.0,11.0,-2.1666666666666665
2023-03-01,24,34740989825.0,10.666666666666666,-2.5,21.833333333333332,-2.5,7.666666666666667,8.0,0.0,77.0,10.0,1025.0,3.0625,10.666666666666666,1.1666666666666667,-7.0,113.0,113.0,113.0,0.0,2.0,11.033333333333333,-2.0
2023-03-02,24,33389769980.0,8.666666666666666,-2.3333333333333335,12.833333333333334,-2.3333333333333335,5.666666666666667,6.666666666666667,0.0,78.0,10.0,1022.1666666666666,36.6875,8.666666666666666,0.0,-6.166666666666667,114.0,118.0,116.5,0.0,2.0,9.516666666666666,-2.0
2023-03-03,24,31962219990.0,12.0,0.3333333333333333,17.333333333333332,0.3333333333333333,9.333333333333334,9.333333333333334,0.0,90.5,10.0,1023.8333333333334,18.354166666666668,12.0,2.6666666666666665,-3.0,114.5,113.0,113.5,0.0,2.1666666666666665,10.933333333333332,1.5
2023-03-04,24,32072369655.0,12.166666666666666,-0.16666666666666666,17.5,-0.16666666666666666,9.333333333333334,9.666666666666666,0.0,94.16666666666667,10.0,1026.0,7.75,12.166666666666666,3.8333333333333335,-3.6666666666666665,113.5,113.5,113.0,0.0,2.8333333333333335,10.966666666666667,1.0
2023-03-05,24,31290276457.0,10.0,-0.3333333333333333,10.333333333333334,0.16666666666666666,7.166666666666667,7.0,0.0,89.66666666666667,9.0,1024.1666666666667,31.291666666666668,10.0,1.5,-2.6666666666666665,129.0,117.0,115.5,0.0,1.8333333333333333,10.4,1.0
2023-03-06,24,31024641008.0,9.5,-0.16666666666666666,11.333333333333334,0.0,7.333333333333333,6.833333333333333,0.0,82.33333333333333,10.0,1015.0,31.666666666666668,9.5,1.1666666666666667,-0.5,114.5,114.5,116.5,0.0,1.8333333333333333,9.4,0.16666666666666666
2023-03-07,24,30891110896.0,7.5,-0.8333333333333334,16.666666666666668,0.8333333333333334,6.166666666666667,6.5,0.08333333333333333,85.0,10.0,1008.0,73.33333333333333,7.5,3.0,-2.8333333333333335,119.5,119.5,118.0,0.0,1.8333333333333333,7.349999999999999,0.8333333333333334
2023-03-08,24,28134900844.0,13.5,3.8333333333333335,37.666666666666664,8.5,12.0,12.833333333333334,5.3500000000000005,93.33333333333333,8.979166666666666,1003.5,97.72916666666667,13.5,11.333333333333334,4.5,296.0,158.0,353.0,0.0,2.8333333333333335,5.599999999999999,5.333333333333333
